airline,from,to,route,price,duration_in_min,stops,class_category,day,month,dep_hour,arr_hour
IndiGo,Mumbai,Kolkata,Mumbai-Chennai,5815.306900924184,149.334466490586,0,Economy,16,7,11,21
GoAir,Mumbai,Chennai,Delhi-Hyderabad,7162.6085306568275,60.0,1,Economy,5,9,13,19
Vistara,Mumbai,Bangalore,Delhi-Mumbai,4929.115360221401,154.60771029950777,1,Economy,15,11,13,9
GoAir,Mumbai,Mumbai,Delhi-Hyderabad,6554.334898425289,161.5904819178853,0,Economy,13,3,7,12
GoAir,Delhi,Hyderabad,Delhi-Bangalore,5515.311343392886,110.93458239052136,1,Economy,13,5,22,11
AirAsia,Delhi,Hyderabad,Mumbai-Kolkata,7375.502324965837,60.0,0,Economy,13,10,4,14
Vistara,Delhi,Mumbai,Mumbai-Kolkata,7594.012282534494,109.16068314098129,2,Economy,15,8,18,6
Vistara,Delhi,Mumbai,Delhi-Bangalore,5386.674729773322,118.07447516133543,0,Business,14,12,13,21
Vistara,Mumbai,Bangalore,Mumbai-Chennai,5560.3542912731355,89.6820534021326,0,Economy,8,1,8,20
GoAir,Delhi,Chennai,Mumbai-Chennai,6687.670309583841,104.54344818575271,0,Economy,11,8,6,12
IndiGo,Delhi,Hyderabad,Mumbai-Kolkata,5690.295480168388,165.90585596590054,1,Economy,18,7,7,11
Vistara,Mumbai,Bangalore,Mumbai-Kolkata,5963.671025654209,139.94781486905222,0,Economy,24,1,13,11
GoAir,Delhi,Chennai,Delhi-Mumbai,6020.3107364339285,92.26307656865701,0,Economy,4,10,21,1
AirAsia,Delhi,Bangalore,Mumbai-Chennai,4464.261475041875,72.07202491213704,0,Economy,26,12,13,4
IndiGo,Mumbai,Hyderabad,Delhi-Bangalore,5988.92980312461,110.18948047170687,2,Business,10,10,10,1
AirAsia,Delhi,Mumbai,Mumbai-Chennai,5448.2177807486605,113.59629661948686,0,Economy,31,12,13,22
IndiGo,Delhi,Mumbai,Delhi-Mumbai,5605.501742080182,134.8859756208995,0,Economy,1,6,20,19
GoAir,Delhi,Chennai,Mumbai-Kolkata,7154.905602775051,103.94049862297022,1,Economy,29,1,7,12
SpiceJet,Delhi,Kolkata,Mumbai-Kolkata,4994.794484576595,135.34498726085585,0,Economy,5,2,2,2
IndiGo,Mumbai,Chennai,Delhi-Mumbai,6650.564149398382,178.05462120180687,2,Economy,13,5,22,10
AirAsia,Delhi,Kolkata,Delhi-Bangalore,5776.829655734553,144.46503067332787,0,Economy,1,2,17,15
GoAir,Delhi,Bangalore,Mumbai-Kolkata,5776.191865203333,118.55734478007682,1,Economy,23,10,2,0
IndiGo,Mumbai,Bangalore,Delhi-Hyderabad,6632.297516841369,114.50548586840117,0,Economy,8,1,12,18
SpiceJet,Delhi,Hyderabad,Mumbai-Kolkata,6272.041035655112,109.29980597460386,0,Economy,3,6,11,10
SpiceJet,Delhi,Kolkata,Delhi-Hyderabad,6456.490397775625,155.41922737356433,1,Economy,3,8,14,8
Vistara,Delhi,Hyderabad,Delhi-Mumbai,6774.547728426289,101.18059662146092,0,Economy,7,8,17,13
Vistara,Delhi,Mumbai,Delhi-Mumbai,5734.953293453342,121.35668126999947,1,Economy,4,8,4,8
AirAsia,Delhi,Kolkata,Mumbai-Kolkata,5510.2106123938,121.53593705643256,0,Economy,3,11,6,6
IndiGo,Mumbai,Chennai,Mumbai-Chennai,5131.879578753762,104.94647421565404,0,Economy,15,6,10,15
IndiGo,Delhi,Mumbai,Delhi-Hyderabad,5339.671576016836,78.82603356347697,0,Economy,8,11,10,2
Vistara,Delhi,Mumbai,Delhi-Bangalore,8359.27554024698,129.68923510853006,2,Economy,3,3,14,18
IndiGo,Delhi,Chennai,Mumbai-Kolkata,6995.7436645894295,118.1698808443385,0,Economy,29,1,9,3
IndiGo,Delhi,Mumbai,Delhi-Bangalore,4919.140507033583,135.0072140830971,0,Economy,30,2,14,6
SpiceJet,Mumbai,Kolkata,Mumbai-Kolkata,4942.033634605144,103.99199080682499,0,Economy,7,5,12,22
Vistara,Mumbai,Hyderabad,Mumbai-Chennai,6385.492849374793,156.62463896439144,0,Economy,18,10,13,11
GoAir,Delhi,Mumbai,Mumbai-Chennai,6437.811837902374,93.69678656364465,0,Economy,11,5,16,17
Vistara,Delhi,Kolkata,Mumbai-Chennai,6439.107068253891,171.36120852053676,2,Economy,11,10,12,4
GoAir,Mumbai,Bangalore,Mumbai-Chennai,5796.035365157041,67.57090470515216,0,Economy,17,1,9,22
SpiceJet,Delhi,Kolkata,Delhi-Mumbai,5899.63659199768,133.04310193670673,1,Business,28,1,0,22
AirAsia,Delhi,Hyderabad,Delhi-Mumbai,6262.303619327486,134.2629204757987,0,Economy,6,9,0,21
IndiGo,Mumbai,Kolkata,Delhi-Hyderabad,6068.714405034664,96.13328796177353,1,Economy,8,2,14,9
SpiceJet,Delhi,Chennai,Delhi-Bangalore,4224.559701801972,132.73181813583037,2,Business,1,7,15,11
IndiGo,Mumbai,Hyderabad,Mumbai-Kolkata,5816.160295539845,158.38556009280475,0,Economy,29,10,11,7
AirAsia,Delhi,Bangalore,Mumbai-Kolkata,5318.874852591749,60.0,2,Economy,10,4,23,18
AirAsia,Mumbai,Chennai,Delhi-Mumbai,6140.16913512681,135.08234422472444,0,Economy,28,7,5,14
SpiceJet,Mumbai,Kolkata,Mumbai-Kolkata,8388.207202082727,60.0,2,Economy,25,8,5,0
AirAsia,Mumbai,Hyderabad,Delhi-Mumbai,6293.985332379443,91.03005589430376,1,Business,31,5,11,2
GoAir,Mumbai,Bangalore,Delhi-Hyderabad,5749.176251062082,168.87499094702835,0,Economy,19,12,14,17
AirAsia,Mumbai,Chennai,Delhi-Bangalore,6737.441201581802,102.54653899823838,0,Economy,3,12,3,17
IndiGo,Delhi,Bangalore,Delhi-Hyderabad,6386.15030976737,84.78360106773083,0,Economy,4,1,23,1
IndiGo,Mumbai,Kolkata,Mumbai-Chennai,6336.075592361473,114.06186813045954,0,Economy,11,4,3,4
IndiGo,Delhi,Bangalore,Mumbai-Chennai,6485.480474572537,182.03719014490656,0,Economy,15,10,1,0
IndiGo,Delhi,Mumbai,Mumbai-Chennai,7645.234851863634,65.04953258381921,0,Economy,1,3,23,9
GoAir,Delhi,Chennai,Delhi-Hyderabad,5095.2892517392675,88.46070265081967,0,Economy,9,10,11,19
Vistara,Delhi,Bangalore,Mumbai-Kolkata,6378.905661449164,164.9229504953888,1,Economy,11,12,6,9
SpiceJet,Mumbai,Kolkata,Delhi-Bangalore,5258.8950960147695,175.73107030613198,0,Economy,19,5,19,4
IndiGo,Delhi,Kolkata,Mumbai-Chennai,6444.410117073799,116.89706327129149,0,Economy,13,10,8,17
AirAsia,Mumbai,Bangalore,Mumbai-Chennai,5265.050790811125,82.82841892420073,1,Economy,26,10,8,20
IndiGo,Delhi,Kolkata,Mumbai-Chennai,5666.1065491159325,182.87530505427478,0,Economy,16,6,7,14
AirAsia,Delhi,Hyderabad,Delhi-Bangalore,5763.928068609675,167.8332717524759,0,Economy,4,2,13,19
AirAsia,Delhi,Hyderabad,Mumbai-Chennai,6780.6533754757675,140.36840963286699,0,Business,1,7,0,7
IndiGo,Delhi,Hyderabad,Delhi-Bangalore,6734.763555153931,95.6279295318774,2,Economy,20,3,22,16
GoAir,Mumbai,Mumbai,Mumbai-Chennai,5003.426098842892,118.5291197748589,1,Economy,13,1,20,11
AirAsia,Delhi,Bangalore,Delhi-Hyderabad,6043.947288799879,115.18919756865509,0,Economy,1,10,22,20
AirAsia,Delhi,Mumbai,Delhi-Hyderabad,5432.336116200662,129.92553913846734,1,Business,5,3,11,11
IndiGo,Mumbai,Kolkata,Delhi-Bangalore,4993.196071459733,163.53004314394008,0,Economy,5,9,1,0
AirAsia,Mumbai,Mumbai,Delhi-Hyderabad,5826.386359660503,146.3825112341221,1,Economy,14,10,12,3
AirAsia,Delhi,Kolkata,Delhi-Bangalore,5753.213769235344,87.67871769045725,1,Economy,27,11,3,7
IndiGo,Delhi,Kolkata,Delhi-Hyderabad,7941.3731890764175,161.29489350058614,1,Business,23,11,19,0
IndiGo,Delhi,Chennai,Delhi-Hyderabad,6346.367860288557,129.39396420039466,0,Economy,14,6,17,14
SpiceJet,Delhi,Hyderabad,Delhi-Bangalore,4897.90599939661,140.6119738757675,0,Economy,8,11,18,17
GoAir,Mumbai,Kolkata,Mumbai-Kolkata,5548.180796663246,163.99622577835808,0,Business,4,6,15,0
GoAir,Mumbai,Chennai,Delhi-Hyderabad,6817.106636343518,86.65259251459347,1,Economy,7,4,13,10
